ace.bible.txt	are.bible.txt	ban.bible.txt	bci.bible.txt	blz.bible.txt	bru.bible.txt	btx.bible.txt	bvr.bible.txt	cab.bible.txt	cac.sansebastian.txt	caq.bible.txt	cat.evangelica.txt	ces.living.txt	cha.2003.txt	chf.bible.txt	chr.bible.txt	crn.bible.txt	cym.colloquial2013.txt	dan.hverdagsdansk.txt	deu.newworld.txt	deu.schlachter.txt	dgi.bible.txt	dgr.bible.txt	dts.bible.txt	dur.bible.txt	eng.common.txt	eng.goodnews.txt	esi.bible.txt	esu.bible.txt	etu.bible.txt	ffm.bible.txt	fin.1992.txt	gag.latin.txt	gle.bible.txt	gug.bible.txt	gvn.bible.txt	gwi.bible.txt	hop.bible.txt	hrv.2000.txt	hun.2003.txt	iba.bible.txt	ibo.bible.txt	inb.bible.txt	ind.firman.txt	isl.bible.txt	jpn.colloquial.txt	jra.bible.txt	kaa.latin.txt	khk.bible.txt	kki.bible.txt	kor.1985.txt	kqs.bible.txt	lem.bible.txt	mad.bible.txt	mak.bible.txt	mcb.bible.txt	mco.bible.txt	mhy.bible.txt	mto.bible.txt	myx.bible.txt	naq.bible.txt	nhg.bible.txt	nhw.bible.txt	nld.2007.txt	nya.bible.txt	pab.bible.txt	pah.bible.txt	pib.bible.txt	poi.bible.txt	prk.bible.txt	qub.bible.txt	quy.bible.txt	ron.2006.txt	run.bible.txt	sme.bible.txt	snf.bible.txt	spa.newworld.txt	srq.bible.txt	tac.bible.txt	tgl.1996.txt	thk.bible.txt	tuk.mukaddes.txt	tur.newworld.txt	uig.latin.txt	vie.bandich.txt	wol.bible.txt	yua.bible.txt	zho.contemp.txt	zho.new.txt	zos.bible.txt
320	soe	ngunha -ma	sapa sira	se	ime	noau	ise	nyi- nga 	cá -ta -bu -san	mach	a- chīö	qui	kdo (kdo)	håyi	cax- caba	gago	a'a -ta -ni	pwy	hvem	wer	wer	ãa	amìı	aa -i	nɔ́n -ná	who	who	ki -u -vich	ki -tu -u -sit	é- nê	ho- mo	ke -ne kuka	kіm -sіn	cé	máva piko	NA	juu	haki -ø -’i	tko (tko)	ki -csoda	s- apa	ònye	pi -tak	si- apa -kah yang	hver	ど -なた	hlơi	kim -sen	hen	nani	누구 -십니까	nɛ̀ɛ́ -nɛ̀	aányɛ́	pasera	inai -ki'	tya -ni -mpa -tyo -ra	NA	hie	pa̱n -ts	naanu	tari -ts	öque -nu	ajqueya	wie	yani	xala	ma -namo	katu -yi	mi- i̱ -apaap	mawx	pi -taj	pi -taq	cine	nde	gii	ɓa	quién	aba	chie -ri	s- ino	ûû	kim	kim -sin	kim -sen	ai	k- an	máax -ech	誰	誰	i -yø
321	peue	iwunha -ka -ma	pu- napi -ke	nzu	upa	nṓq	kai	ngu- yinmiya	cá -ba -gi	tas	a- suh	què	co (co)	håfa	cua '	gado	a'i -ni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	nɛ́n -ná	what	what	NA	qaillun	jen	ko ɗum	mi -tä	ne	cad	mba'e -pa	wanjarr -mal -da	nats'ahts'ą'	hinh -ti -ni	što (što)	mi -t	nama	gini	ima -tak	apa yang	hvað	何	hơgĕt	ne	yuu	nhani	무엇 -을	yɛɛ	anyána	pon- apa	apa	NA	ti	inun	ti -s	ndye- ena	tare -e	tli	tlaque	wat	chiyani	xoana -ite	mara	klu	t́i	yuh ka mawx	ima -ta -taj	ima -ta -taq	ce	n- te	mii -a -id	ya	qué	mañɨ	NA	ano	n'- ata	näme	ne	neme	gì	l- u	ba'ax	怎麼	甚麼	ti
322	NA	NA	napi	nzu	NA	nṓq	NA	an- nga nula	cá uágu	tas	sitih	què	NA	sa' håfa na	cua ' uc'a	gado -no	ti'i -taj -ni	pam	hvad	warum	was	bʋ̃ʋ ƴãw	ayìı	inge -i	ȩn	what	why	su -m -man	ca -mek	jen	ko ɗum	NA	ne -çіn	cad	NA	wanyu -rri -nku	jidii	hinoqw	što (što)	mi -ért	NA	gini	ima -tak	NA	hvað	なん	hơgĕt	ne -ni	yuu -n -d	chi- o- ni	어디	yɛɛ	aátɛ́	NA	NA	NA	nej co	NA	ti -ts	shiina	tare -xa -ts	tli para	NA	wat	u- chedwe- ra- nji	xoare	mara -name	klu	NA	yuh ka mawx	NA	ima -ta -raq -taq	ce	iki	mii -a -inna	ya	por qué	mbae -rã	NA	ano	mbi	näme -ä	ne	neme -ni	gì	l- oo -y	ba'ax ten	什麼	為 甚麼	ti
323	peue -keuneuk	iwunha -ma	apa	nzu	upa	ntrớu	kai	gun- nga	cá	tas	a- suh	què	NA	håfa na	cuaxca	gado	ti'i -taj -ni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	inge -i	NA	what	what	su -mik	ca -mek	jen	ko ɗum	mi -tä	ne	cé an	mba'e -pa	wanyu	jidii	hihta (himu)	što (što)	mi	nama	gini	ima -tak	apa -kah yang	hvað	何	hơgĕt	ne	yuu	chi- o- ni	무엇 -은	yɛɛ	asana a yaátɛ́	apa	apa	NA	ti	inun	ti -ts	shiina	tare -e	tli	tlaque	wat	chiyani	xoare	gara	klu	t́i	yuh ka mawx	ima -taj	ima -ta -taq	ce	iki- ki	mii	ya	qué	mbae	ta- chi -ri	ano	n'- ata	näme	ne -dir	neme	NA	l- oo	ba'ax	什麼	甚麼	ti
324	peue -kon	NA	napi awinan	nzu ti	no'- upa -on	nṓq	ng- kai	an- nga nula	NA	tas yuj	kūö yòh	per què	NA	sa' håfa na	cuaxca uc'a	gado -no	NA	pam	hvor -for	warum	warum	bʋ̃ʋ ƴãw	dànì -ghǫ	NA	moo ȩn	why	why	su -vlu -si -asi -uvva	ciin	jen	ko saabii	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	NA	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	NA	hver -s vegna	どう -して	hyư̆m	ne -ge	yaa -g -aa -d	nhani	어찌 -하여사	le yɛɛ	asana a yaátɛ́	a- pon- apa	angng- apa	NA	na'amy	inun	NA	lwa- shiina	tare xū -i ǃaroma	tli -ca	quenque	waarom	NA	xoana -re hoka	mara -nu -hũ -rame	NA	t́iiga	NA	ima -ni -r -taj	ima -na -sqa -má	ce	iki- ki gituma	manne	tah ya	por qué	NA	cho -ni -gá	bakit	mbi	näme üçin	neden	neme -ix -qa 	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
325	peue 	NA	encen -ke	nzu	upa	NA	kai	NA	ja -lía -ñein -ti	NA	suh	quin	NA	NA	cuaxca -tac	gado -ge -no	ti'i -taj -ni	NA	NA	wo -in	was für	NA	ayìı -ha	NA	NA	what	NA	su -mik	ca -kun	bhaghé	ko ɗum	mi -tä	ne	cad	mba'e -pe -pa	NA	NA	NA	kakav -a	mennyi -ben	nama	gini	ima -pi -tak	apa -kah	hvað	何	hơgĕt	qan -day	NA	chi- o- ni	무엇 -며	ɔ́ɔ̀	aátɛ́	pon- apa	apa -mo -i	NA	ti	inun	ti -ts	shiina	mâ	tli	NA	NA	ni- nji	xoare maheta	NA	klu -neru	t́i	yuh ka mawx	NA	ima -paq -taq	care	a- te	makkár	ya	cuál	mbae -rã	ta- cha	pa- ano -ng	mbi	näme	ne -dir	neme	gì	l- an	ba'ax	什麼	哪 裡	ti -cøtoya
326	peue -kon	iwunha -nga -nta -ma	napi awinan -ipun	o yô se	no- ngko'- upa	nṓq	NA	an- nga nula	cá -ti uágu	tas yuj	pò yòh 	per què	NA	sa' håfa na	cua ' uc'a	gado -no	a'i -ni	pam	NA	warum	was	bʋnʋ ƴãw	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	NA	ciin	NA	ko ɗum	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	NA	jaghaii	hinoqw	kako	mi -ért	nama kebuah	gini	ima -wan -tak	bagai- mana	hver -s vegna	どう -して	hyư̆m	ne -ge	yaa -g -aa -d	nhani	왜	le kɔlɔ yɛɛ	a- nyí- aátɛ́	a- pon- apa	angng- apa	tata -tyo	NA	wuah inun	tya̱jx	khu- lwa- shiina	tare xū -i ǃaroma	tli -ca	NA	waarom	bwa- nji	xoana -iya hoka	mara -name	klu china -nu	t́iiga	yuh ka mawx	NA	ima -na -sqa -taq	de ce	iki- ki gituma	manne	tah ya	por qué	NA	NA	bakit	kî	NA	neden	neme uchun	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	NA
327	peue	iwunha -nga -ma	napi -ke	nzu	koi upa	NA	uga	gu- yinmiya	cá -ba -ti	tas	sitih	què	NA	håfa	NA	gado	a'i -ni	beth	hvor -dan	was	was	bʋ̃ʋ n'ʋ	dàts' -edı	kijɛ inge	née	what	what	NA	ca -li -at -qaa	bhaghé é- jûm	ko ɗum	mi -tä	ne	cad	mba'e -pe	NA	dee gwehee -nj -yaa	hin	kakav -o	mi -t	baka ni	gini	ima -sa -tak	bagai- mana -kah	hvað	なん -と	hơgĕt	ne	yuu -t	chi- o- ni	어떻 -ㄴ	vɛɛ	aátɛ́	kadi pon- apa	apa	tya -ra i- kant -ak -a	nej	inun	tya̱jx	shiina	tare -e	tli	tlaque	hoe	chiyani	xoare	mara	gi	t́i	pa tix	NA	ima -ta -taq	ce	iki- ki	mii -a -id	y- iida	qué	NA	chu -ri -gá	ano	n'- ata	näme	ne	neme -ler -ni	gì	n- u	ba'ax	什麼	甚麼	NA
328	peue -jan	ilangara -ma	pidan -ke	se	mar- ipi	bo léq	ndigan -ai	gu- yinpa	ída	NA	sitih	quan	kdy	håfa na	ca q'uin	hilago iyu -no	a'anaj -ni	pryd	NA	welch -en	wie	debor	NA	yago	ndɛn -ná	how	when	NA	qaillun -mi	NA	hono	NA	ne -zaman	conas	araka'e piko	wanja wanja	NA	hisat	kako	mi -képpen	kemaya	aṅa	ima -ura tak	bila mana -kah	hvernig	どう -いう	hơbin	qashan	yaa -j	fi- nhani	언제	telen kuɛɛ	nyí- ényí	bila	ringngapanna	tya -ti	nej	hantamian	vin'it	shi- rye ena	mati -b	quiene	quenicatza	wanneer	bwa- nji	xoana xowaka	NA	gi r- gixpoko	juch ɨs	NA	imay -pita -taj	hayka -pi -taq 	când	ryari	goas	NA	qué	NA	chie -ni -ko	kailan	rî	haçan	hangi	qachan	thế nào	kañ	ba'ax kiin	怎麼	怎樣	NA
329	peue 	nthakinha -nta -ma	napi -ke	se	koi upa	nṓq	uga	ngu- burr- yinmiya	cá -ba -ti	tas	sitih	què	co (co)	håfa	cache' -da	gado -ge -no	a'i -ni	beth	NA	was	was	bo	dàts' -edı	yani	nɛ́n -ná	what	what	qanutun	NA	jen	ko ɗum	mi -tä	ne	cad	mba'e piko	NA	dee gwehee -nj -yaa	hin -qaq -wa -ni	što (što)	mi -t	baka ni	gini	NA	NA	hvað	なん -と	hơgĕt	ne	yuu	chi- gamb- a- ki	NA	vɛɛ	aátɛ́	pon- apa	apa -mo	tya -rika a- n- kant -aig -e	nej	inun	vintso̱ -ts	khu- rye ena	tare -e	tli	tlaque	wat	chiyani	xoare	mara	gi	t́i	ka mawx	NA	ima -ni -sun -taq	ce	iki	mii -a -id	NA	qué	mañɨ	cho -no -ki -bóa -ché	ano	NA	näme	ne	neme	làm sao	l- u	ba'ax	怎麼	甚麼	ti
330	pat -ne -na	nthakinha -nta -ma	a- sapu- napi	o yô se	koi upa	NA	uga	ngu- burr- yinmiya	ída	NA	sitih	com	jak	tai- månu	cache' -da	gado	a'i -ni	sut	NA	wie	wie	ŋmɩŋ -mɩn	dànì	yani	NA	how	how	NA	qaillun	NA	hono	kuinka	ne -soy	conas	mba'e -icha piko	NA	jaghaii	NA	kako	hogy -an	baka ni	aṅa	NA	NA	hvernig	どう -して	hyư̆m	qalay -ın -sha	her -hen	nhani	어떻 -게	vɛɛ	anyána	kadi pon- apa	apa saba'na	tya -ra a- n- kant -aig -ak -empa -ra	NA	ha- awe	vintso̱ -s -e'e	shi- rye ena	mati	quiene	quenicatza	waarom	bwa- nji	aliyakere -ya	NA	gi	t́iiga	yuh ka mawx	imano -pa -na -taj	imayna -má	cum	du- te	mo	na	cómo	mañɨ	'la -cha	pa- ano	n'- ata	neneň	nasıl	NA	thế nào	naka	bix	NA	怎麼	NA
331	peue 	iwunha -nta -ma	napi -ke	nzu	upa	ntrớu	kai	gun- nga	cá	NA	suh	quin	co (co)	håfa	cuaxca	gado usdi	ti'i -taj -ni	beth	hvad	was	was für	bʋnʋ	ayìı	inge -i	ȩn -á	what	what	NA	NA	jen	ko ɗum	mi -n -kä	ne	cad	mba'e -pe	wanyu	NA	hihta (himu)	čo -ime (što)	mi -csoda	nama	gini	ima -tak	NA	hvað -a	ど -んな	hơgĕt	ne	yamar	chi- a- ki	무엇 -입니까	yɛɛ	aátɛ́	pon- apa	apa	tya -ra o- kant -aig -ak -e -mpi	ti	inun	vintso̱	shiina	tare -be	tli	quenicatza	wat	zi- -a- nji	xoare -hare -nae	NA	klu	t́i	yuh ka mawx	ima -ta -taj	NA	ce	gi- he	mii -a -id	ya	cuál	NA	ta- chi -ri	ano	mbi	näme	ne	neme	gì	b- an	ba'ax	什麼	甚麼	NA
332	soe	ngunha -la -nta -ma	sapa sira -ke	wan	ime	noau	ise	ana- nga	cá -ba	mach	a- chīö	qui	NA	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	ki -a	ca -mek	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva -pa	wanju -ngku	NA	haki -ø	tko (tko)	ki -csoda	s- apa	ònye 	pi -tak	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	pasera	inai -mo -i	tya -ni -mpa -tyo	pɨn	hie	pa̱n -ts	naanu	tari -e	öque -nu	ajqueya	wie	ndani	xala -ite	ma'g̃a	katu	i̱	mawx	pi -lla -raj	pi -taq	cine	nde	gii	ɓa	quién	aba	chie -ri	s- ino	n'- ûû	kim	kim	kim -mu	ai	k- u	máax	誰	誰	i -'is
333	peue 	iwunha -nta -ma	pu- napi -ke	nzu	koi upa	nṓq	uga	ngu- burr- yinmiya	cá -ba -ti	tas	sitih	què	co (co)	håfa	cache'	gado -no	a'i -ni	beth	NA	was	was	bʋnʋ	dàts' -edı	yani	ȩn -á	what	what	NA	ki -a	jen	ko ɗum	mi -tä	ne	cad	mba'e -pa	NA	dee gwehee -nj -yaa	hin -qaq -wa -ni	što (što)	mi -t	baka ni	gini	ima -tak	apa -kah yang	hvað	なん -と	hơgĕt	ne	yuu	chi- gamb- a- ki	무엇 -은	vɛɛ	aátɛ́	pon- apa	apa -mo	tya -ni -mpa -tyo -ra	ti	inun	vintso̱ -s -e'e	shiina	tare -e	tli	tlaque	wat	chiyani	xoare	NA	gi	t́i	ka mawx	NA	ima	ce	iki	mii -a -id	ya	qué	NA	chu -ri -gá	ano	n'- ata	NA	ne	neme	gì	l- u	ba'ax	什麼	甚麼	ti
334	soe	NA	sapa sira -ke	wan	ime	noau	ise	ana- nga	cá -ba -gi	mach	chīö ap	qui	kdo (kdo)	håyi	caxca une	gago	NA	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	qaillun	é- nê	ho- mo	ke -ne kuka	kіm	cé	piko máva	wanju -ngku	juu	haki -ø	tko (tko)	ki -csoda	s- apa	ònye 	pi -tak	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	NA	pasera	inai	tya -ni	pɨn	hie	pa̱n -ts	naanu	tari -e	öque -nu	NA	wie	ndani	xala -iya	NA	katu	i̱	mawx	pi -na -taj	pi -taq	cine	nde	gii	y- iida	quién	NA	chie -ri -te	s- ino	n'- ûû	kim	kim	kim -mu	ai	k- an	máax	誰	誰	i -'is
335	soe	NA	sapa sira -ke	wan	ime	noau	ise	ana- nga	cá -gi	mach	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	NA	inɛ aa	nóo	who	who	NA	ki -na	é- nê	ho- mo	ke -ne kuka	kіm	cé	NA	NA	juu dee	haki -ø	tko (tko)	ki -csoda	s- apa	ònye 	pi -tak	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	pasera	inai	tya -ni -mpa -tyo -ra	pɨn	hie -kah	pa̱n -ts	naanu	tari -e	öque -nu	ajqueya	wie	ndani	xala -iya	NA	katu	i̱	mawx	pi -raj	pi -taq	cine	nde	gii	y- iida	quién	NA	'la -cha	s- ino	n'- ûû	kim	kim	kim -mu	ai	k- an	máax	誰	誰	i -'is
336	peue 	NA	sapa sira -ke	wan	NA	noau	ise	ana- nga	cá -tei -ti	mach	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -taa -ni	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	ki -a -liqaa -suli	ki -na	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva -pa	wanju -ngku	juu dee	haki -ø	tko (tko)	ki -csoda	s- apa	ònye 	pi -tak	si- apa -kah yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	NA	NA	tya -ni	pɨn	inun	pa̱n	naanu	tari -e	öque -nu	ajqueya	wie	ndani	xala -iya	NA	NA	i̱	mawx	pi -raj	NA	cine	nde	gii	y- iida	quién	NA	NA	s- ino	n'- ûû	kim	kim	kim	ai	k- an	máax	誰	誰	i -'is
337	peue 	NA	sapa sira -ke	nzu	NA	ntrớu	ise	ana- nga	cá -ba -ti	NA	a- chīö	qui	kdo (kdo)	håyi	caxca une	gago	a'a -taa -ni	NA	NA	wer	wer	ãa	amìı	kijɛ inge	nóo	who	who	su -mik	ki -a	é- nê	ko ɗum	mi -kä	kіm	cé	máva piko	wanya -ngka	juu dee	haki -ø	tko (tko)	ki -csoda	s- apa	ònye 	pi -tak	si- apa -kah yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	NA	inai	tya -ni -mpa -tyo -ra	NA	inun	pa̱n	naanu	tari -e	öque -nu	ajqueya	wat	ndani	xala -ite	NA	giru	i̱	mawx	pi -raj	NA	cine	nde	gii	ɓa	quién	NA	ta- chi -ri -te	s- ino	mbi	NA	ne	NA	ai	k- an	máax	誰	誰	NA
338	peue -kon	iwunha -nga -nta -ma	sapu- napi	o yô se	no- ngko'- upa	nṓq	ng- kai	an- nga nula	cá -ti uágu	tas yuj	kūö yòh 	per què	proč	tai- månu	cua ' uc'a	gado -no	a'i -ni	pa	NA	warum	warum	bʋnʋ ƴãw	dànì -ghǫ	inge dɛ -i	moo ȩn	why	how	su -m -man	ciin	jen	ko ɗum	mi -ksi	ne -çіn	cad	mba'e piko	wanyu -rri -nku	doon -chy'aa	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hvað	なぜ	hyư̆m	ne -ge	yaa -g -aa -d	nhani	어찌 -하여사	le yɛɛ	a- nyí- aátɛ́	a- pon- apa	apa saba'na	tya -ra o- kant -ak -a -ra	ti	wuah inun	vintso̱ -ts	khu- lwa- shiina	tare -xa -b	tli -ca	quenque	waarom	chifukwa chiyani	aliyakere -ya	mara -name	klu	t́iiga	NA	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki gituma	manne	ya	por qué	mbae -rã	'la -cha	bakit	kî	näme üçin	neden	neme uchun	sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
339	keu- peue	iwunha -nga -la	kenken	o yô se	NA	nṓq	e- ng- kai	an- nga nula	cá -me	tas yuj	kūö yòh	per què	proč	håfa na	cua ' uc'a	gado -no	a'i -ni	pam	hvor -for	warum	warum	bʋnʋ ƴãw	dànì -ghǫ	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin	jen	ko saabii	mi -ksi	ne -çіn	cad	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hví	なぜ	hyư̆m	ne -ge	yaa -g -aa -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	a- pon- apa	apa saba'na	antari gara	nej co	wuah inun	tya̱jx -ts	shiina	tare -xa -ts	tli -ca	para tlen	waarom	u- ndi- pangi- ra- nji	xoana hoka	mara -name	klu china -nu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki catumye	manne	tah ya	por qué	mbae -rã	cho -ni -gá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -'ajcuy
340	NA	NA	napi -ke	se	NA	nṓq	uga	ngu- burr- yinmiya	cá -ba -ti	tas	sitih	què	co (co)	NA	cache' -da	gado	a'i -ni	beth	hvad	was	was	bo	ayìı	inge	nɛ́n -ná	what	NA	su -mik	qaillun	jen	ko ɗum	mi -tä	ne	cad	mba'e -pa	NA	dee gwehee -nj -yaa	hin -qaq -wa -ni	što (što)	mi -t	baka ni	gini	ima -tak	apa -kah yang	hvað	なん -と	hơgĕt	ne	yuu	chi- gamb- a- ki	무엇 -은	vɛɛ	aátɛ́	NA	NA	tya -rika a- n- kant -aig -e	NA	NA	vintso̱ -s -e'e	shiina	tare -e	tli	tlaque	wat	chiyani	xoare	mara	gi	t́i	ka mawx	NA	NA	ce	iki	mii -a -id	ya	qué	NA	NA	ano	n'- ata	näme	ne	NA	làm sao	l- u	ba'ax	什麼	甚麼	ti
341	peue -kon	iwunha -nga	napi awinan	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá -gi uágu	tas yuj	pò yòh	per què	proč	sa' put håfa	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	welch -em	warum	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge	moo ȩn -á	why	why	qanuq	ciin	jen	ko saabii	mi -ksi	ne -çіn	cad fáth	mba'e -re piko	NA	jaghaii	hinoqw ’ö 	za- što (što)	mi -ért	nama kebuah	n'ihi gini	ima -pa -tak	meng- apa	hver -s vegna	なぜ	yua hơgĕt	ne ushın	yaa -g -aa -d	nhani	왜	le kɔlɔ yɛɛ	a- nyí- aátɛ́	a- pon- apa	angng- apa	tya -ra o- kant -ak -a	na'amy	wuah inun	tya̱jx	khu- lwa- shiina	tare xū -i ǃaroma -sa	tli	quenque	waarom	chifukwa chiyani	xoana hoka	NA	klu china -nu	NA	pa tix	ima -ni -r	ima -na -sqa -má	de ce	kuki	manne	tah ya	por qué razón	NA	NA	bakit	kî	näme üçin	neden	neme uchun	tại sao	l- an	ba'ax ten	為 什麼	甚麼	ti -'ajcuy
342	soe	ngunha -ma	nyen	wan	ime	noau	ise	ana- nga	cá -ba	mach	chīö ap	qui	NA	håyi	caxca une	gago	NA	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	ki -na -kiq	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva piko	NA	juu	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -tak	NA	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	s- apa	inai -ka	tya -ni -mpa -tyo -ra	pɨn	hie	pa̱n -ts	naanu	tari -e	öque	NA	wie	ndani	xala -ite	NA	katu	i̱	mawx	pi -raj	pi -taq	cine	nde	gii	y- iida	quién	aba	chie -ri	s- ino	n'- ûû	kim	kim	kim	ai	k- u -y	máax	誰	誰	i
343	soe	ngunha -ma	nyen	wan	ime	noau	ise	ana- nga	cá -ba	mach	chīö ap	qui	NA	håyi	caxca une	gago	NA	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	ki -na -kiq -llu	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva -pa	NA	juu	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -tak	NA	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́	aányɛ́	s- apa	inai -ka	tya -ni -rika	pɨn	hie	pa̱n -ts	naanu	tari -e	öque -nu	NA	wie	ndani	xala -ite	NA	katu	i̱	mawx	pi -raj	pi -taq	cine	nde	gii	y- iida	quién	aba	chie -ri	s- ino	n'- ûû	kim	kim	kim	ai	k- u -y	máax	誰	誰	i
344	peue -kriban	NA	a- sapu- napi	o yô se	koi upa	nṓq	uga	a- burr- yinmiya	ída	tas	sitih	com	NA	tai- månu	cache' -da	gado -no	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn	dànì	yani	née	how	how	NA	qaillun -mi	nan	hono	kuinka	ne -soy	conas	mba'e -icha piko	wanjarr -ku	nats'ąą	hin	kako	hogy -an	baka ni	aṅa	ima -sa -tak	bagai- mana	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	vɛɛ	anyána	kadi pon- apa	antekamma	tya -ra -tyo i- n- kant -aig -ak -empa -ra	nej	kala awe	vintso̱ -ts	ba- rye ena	mati -n	quiene	quenicatza	hoe	bwa- nji	aliyakere -ya	NA	gi r- gixpoko	jutsa̱p	yuh ka mawx	imano -pa -raj	imayna -ta -má	cum	ba- te	mo	NA	cómo	NA	chu -ri -gá	pa- ano	n'- ata	nädip	nasıl	qandaq -mu	làm sao	n- an	bix	怎	怎	jujche
345	peue -kriban	NA	sapu- napi	o yô se	koi upa	nṓq	uga	a- burr- yinmiya	ída	tas	sitih	com	NA	håfa tai- månu	cache' -da	gado	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn	dànì	yani	née	how	how	NA	qaillun -mi -llu	nan	hono	kuinka	ne -soy	conas	mba'e -icha piko	wanjarr -ku	NA	hin	kako	hogy -an	baka ni	aṅa	ima -sa -tak	bagai- mana	hvernig	どう -して	hyư̆m	qalay	yaa -j	fi- nhani	어떻 -게	vɛɛ	anyána	kadi pon- apa	antekamma	tya -ra -tyo i- n- kant -aig -ak -empa -ra	nej	kala awe	vintso̱	ba- rye ena	mati -n	quiene	quenicatza	hoe	bwa- nji	aliyakere -ya	NA	gi r- gixpoko	jutsa̱p	yuh ka mawx	imano -pa -raj	imayna -taq -má	cum	ba- te	mo	na	cómo	NA	chu -ri -gá	pa- ano	n'- ata	nädip	nasıl	qandaq -mu	làm sao	naka	bix	怎	怎	jujche
346	peue -kriban	NA	a- sapu- napi	o yô se	koi upa	nṓq	uga	a- burr- yinmiya	ída	tas	sitih	com	NA	tai- månu	cache' -da	gado	a'i -ni	sut	hvor -dan	wie	wie	ŋmɩŋ -mɩn	dànì	yani	née	how	how	NA	qaillun -llu	nan	hono	kuinka	ne -soy	conas	mba'e -icha piko	wanjarr -ku	NA	hin	kako	hogy -an	baka ni	aṅa	ima -sa -tak	bagai- mana	hvernig	どう -して	hyư̆m	qalay	yaa -j	nhani	어떻 -게	vɛɛ	anyána	kadi pon- apa	antekamma	tya -ra -tyo i- n- kant -aig -ak -empa -ra	nej	kala awe	vintso̱	ba- rye ena	mati -n	quiene	quenicatza	hoe	bwa- nji	aliyakere -ya	NA	gi r- gixpoko	jutsa̱p	yuh ka mawx	imano -pa -raj	imayna -taq	cum	ba- te	mo	na	cómo	NA	NA	pa- ano	n'- ata	nädip	nasıl	qandaq -mu	làm sao	naka	bix	怎	怎	jujche
