ace-bible.txt	are-bible.txt	ban-bible.txt	bci-bible.txt	blz-bible.txt	bru-bible.txt	btx-bible.txt	bvr-bible.txt	cab-bible.txt	cac-sansebastian.txt	caq-bible.txt	cat-evangelica.txt	ces-living.txt	cha-2003.txt	chf-bible.txt	chr-bible.txt	crn-bible.txt	cym-colloquial2013.txt	dan-hverdagsdansk.txt	deu-newworld.txt	deu-schlachter.txt	dgi-bible.txt	dgr-bible.txt	dts-bible.txt	dur-bible.txt	eng-common.txt	eng-goodnews.txt	esi-bible.txt	esu-bible.txt	etu-bible.txt	ffm-bible.txt	fin-1992.txt	gag-latin.txt	gle-bible.txt	gug-bible.txt	gvn-bible.txt	gwi-bible.txt	hop-bible.txt	hrv-2000.txt	hun-2003.txt	iba-bible.txt	ibo-bible.txt	inb-bible.txt	ind-firman.txt	isl-bible.txt	jpn-colloquial.txt	jra-bible.txt	kaa-latin.txt	khk-bible.txt	kki-bible.txt	kor-1985.txt	kqs-bible.txt	lem-bible.txt	mad-bible.txt	mak-bible.txt	mcb-bible.txt	mco-bible.txt	mhy-bible.txt	mto-bible.txt	myx-bible.txt	naq-bible.txt	nhg-bible.txt	nhw-bible.txt	nld-2007.txt	nya-bible.txt	pab-bible.txt	pah-bible.txt	pib-bible.txt	poi-bible.txt	prk-bible.txt	qub-bible.txt	quy-bible.txt	ron-2006.txt	run-bible.txt	sme-bible.txt	snf-bible.txt	spa-newworld.txt	srq-bible.txt	tac-bible.txt	tgl-1996.txt	thk-bible.txt	tuk-mukaddes.txt	tur-newworld.txt	uig-latin.txt	vie-bandich.txt	wol-bible.txt	yua-bible.txt	zho-contemp.txt	zho-new.txt	zos-bible.txt
44022010	peue	iwunhakama	punapike	nzu	upa	nṓq	kai	ngu-yinmiya	cábagi	tas	asuh	què	co	håfa	cua'	gado	a'ini	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	nɛ́nná	what	what	suniaqpik	qaillun	jen	koɗum	mitä	ne	cad	mba'épa	wanjarrmalda	nats'ahts'ą'	hinhtini	što	mit	nama	gini	imatak	apa yang	hvað	何	hơgĕt	ne	yuu	nhani	무엇을	yɛɛ	anyána	ponapa	apa	tatarikara	ti	inun	tis	ndyeena	tare-e	tli	tlaque	wat	chiyani	xoanaite	marã	klu	t́i	yuh ka mawx	imatataj	imatataq	ce	nte	maid	ya	qué	mañɨ	chu'símili	ano	n'ata	näme	ne	neme	gì	lu	ba'ax	怎麼	甚麼	ti
44022016	NA	NA	napi	nzu	NA	nṓq	NA	an-nga nula	ca uágu	tas	sitih	què	NA	sa' håfa na	cua' uc'a	gadono	ti'itajni	pam	hvad	warum	was	bʋ̃ʋ ƴãw	ayìı	ingei	ȩn	what	why	summan	camek	jen	koɗum	NA	neçіn	cad	NA	wanyurrinku	jidii	hinoqw	što	miért	NA	gini	imatak	NA	hvað	なん	hơgĕt	neni	yuund	choni	어디	yɛɛ	aátɛ́	NA	NA	NA	nej co	NA	tits	shiina	tarexats	tli para	NA	wat	uchedweranji	xoare	maraname	klu	NA	yuh ka mawx	NA	imataraqtaq	ce	iki	mainna	ya	por qué	mbaerã	NA	ano	mbi	nämä	ne	nemini	gì	looy	ba'axten	什麼	為甚麼	ti
44023019	peukeuneuk	iwunhama	apa	nzu	upa	ntrớu	kai	gun-nga	ca	tas	asuh	què	NA	håfa na	cuaxca	gado	ti'itajni	beth	hvad	was	was	bʋ̃ʋ n'ʋ	ayìı	ingei	NA	what	what	sumik	camek	jen	koɗum	mitä	ne	cén	mba'épa	wanyu	jidii	hihta	što	mi	nama	gini	imatak	apakah yang	hvað	何	hơgĕt	ne	yuu	choni	무슨	yɛɛ	asana a yaátɛ́	apa	apa	NA	ti	inun	tits	shiina	tare-e	tli	tlaque	wat	chiyani	xoare	gara	klu	t́i	yuh ka mawx	imataj	imatataq	ce	igiki	mii	ya	qué	mbae	tachiri	ano	n'ata	näme	nedir	neme	NA	loo	ba'ax	什麼	甚麼	ti
44026008	pakon	NA	napi awinan	nzu ti	no'upaon	nṓq	ngkai	an-nga nula	NA	tas yuj	kūö yòh	per què	NA	sa' håfa na	cuaxca uc'a	gadono	NA	pam	hvorfor	warum	warum	bʋ̃ʋ ƴãw	dànìghǫ	NA	moo ȩn	why	why	suvlusiasiuvva	ciin	jen	ko saabii	miksi	neçіn	cén fáth	mba'ére piko	NA	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	NA	hvers vegna	どうして	hyư̆m	nege	yaagaad	nhani	어째서	le yɛɛ	asana a yaátɛ́	aponapa	angngapa	NA	na'amy	inun	NA	lwashiina	tare xū-i ǃaroma	tlica	quenque	waarom	NA	xoanere hoka	maranuhũrame	NA	t́iiga	NA	imanirtaj	imanasqamá	ce	igiki gituma	manne	tah ya	por qué	NA	chonigá	bakit	mbi	näme üçin	neden	nemixqa	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
45003001a	peu	NA	encenke	nzu	upa	NA	kai	NA	jalíañeinti	NA	suh	quin	NA	NA	cuaxcatac	gadogeno	ti'itajni	NA	NA	worin	was für	NA	ayìıha	NA	NA	what	NA	sumik	cakun	bhaghé	koɗum	mitä	ne	cad	mba'épepa	NA	NA	NA	kakva	mennyiben	nama	gini	imapitak	apakah	hvað	何	hơgĕt	qanday	NA	choni	무엇이며	ɔ́ɔ̀	aátɛ́	ponapa	apami	NA	ti	inun	tits	shiina	mâ	tli	NA	NA	ninji	xoare maheta	NA	kluneru	t́i	yuh ka mawx	NA	imapaqtaq	care	ate	makkár	ya	cuál	mbaerã	tacha	paanong	mbi	näme	nedir	neme	gì	lan	ba'ax	什麼	哪裡	ticøtoya
45003007b	pakon	iwunhangantama	napi awinanipun	o yô se	nongko'upa	nṓq	NA	an-nga nula	cáti uágu	tas yuj	pò yòh	per què	NA	sa' håfa na	cua' uc'a	gadono	a'ini	pam	NA	warum	was	bʋnʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	why	NA	ciin	NA	koɗum	miksi	neçіn	cén fáth	mba'ére piko	NA	jaghaii	hinoqw	kako	miért	nama kebuah	gini	imawantak	bagaimana	hvers vegna	どうして	hyư̆m	nege	yaagaad	nhani	왜	le kɔlɔ yɛɛ	anyíatɛ́	aponapa	angngapa	tatatyo	NA	wuah inun	tya̱jx	khulwashiina	tare xū-i ǃaroma	tlica	NA	waarom	bwanji	xoanaiya hoka	maraname	klu chinanu	t́iiga	yuh ka mawx	NA	imanasqataq	de ce	igiki gituma	manne	tah ya	por qué	NA	NA	bakit	kî	NA	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	NA
45004001	peue	iwunhangama	napike	nzu	koi upa	NA	uga	gu-yinmiya	cábati	tas	sitih	què	NA	håfa	NA	gado	a'ini	beth	hvordan	was	was	bʋ̃ʋ n'ʋ	dàts'edı	kijɛ inge	née	what	what	NA	caliat-qaa	bhaghé ejûm	koɗum	mitä	ne	cad	mba'épe	NA	deegweheenjyaa	hin	kakvo	mit	baka ni	gini	imasatak	bagaimanakah	hvað	なんと	hơgĕt	ne	yuut	choni	어떤	vɛ̀ɛ̀	aátɛ́	kadi ponapa	apa	tyara ikantaka	nej	inun	tya̱jx	shiina	tare-e	tli	tlaque	hoe	chiyani	xoare	marã	gi	t́i	patix	NA	imatataq	ce	igiki	maid	yiida	qué	NA	churigá	ano	n'ata	näme	ne	nemilerni	gì	nu	ba'ax	什麼	甚麼	NA
45004010	pajan	ilangarama	pidanke	se	maripi	bo léq	ndiganai	gu-yinpa	ída	NA	sitih	quan	kdy	håfa na	caq'uin	ilagiyuno	a'anajni	pryd	NA	welchen	wie	debor	NA	yagɔ	ndɛnná	how	when	NA	qaillun-mi	NA	hono	NA	nezaman	conas	araka'e piko	wanja-wanja	NA	hisat	kako	miképpen	kemaya	aṅa	imauratak	bilamanakah	hvernig	どういう	hơbin	qashan	yaaj	finhani	언제	telen kuɛɛ	nyíényí	bila	ringngapanna	tyati	nej	hantamian	vin'it	shiryeena	matib	quiene	quenicatza	wanneer	bwanji	xoana xowaka	NA	gi rixpoko	juchɨs	NA	imaypitataj	haykaptaq	când	ryari	goas	NA	qué	NA	chiéniko	kailan	rî	haçan	hangi	qachan	thế nào	kañ	ba'ax kiin	怎麼	怎樣	NA
45006001	peu	nthakinhantama	napike	se	koi upa	nṓq	kuga	nguburr-yinmiya	cábati	tas	sitih	què	co	håfa	cache'da	gadogeno	a'ini	beth	NA	was	was	bo	dàts'edı	yani	nɛ́nná	what	what	qanutun	NA	jen	koɗum	mitä	ne	cad	mba'e piko	NA	deegweheenjyaa	hiṅqaqwani	što	mit	baka ni	gini	NA	NA	hvað	なんと	hơgĕt	ne	yuu	chigambeki	NA	vɛ̀ɛ̀	aátɛ́	ponapa	apamo	tyarika ankantaige	nej	inun	vintso̱ts	khuryeena	tare-e	tli	tlaque	wat	chiyani	xoare	marã	gi	t́i	ka mawx	NA	imanisuntaq	ce	iki	maid	diima	qué	mañɨ	chonokibóaché	ano	NA	näme	ne	neme	làm sao	lu	ba'ax	怎麼	甚麼	ti
45006002	panena	nthakinhantama	asapunapi	o yô se	koi upa	NA	kuga	nguburr-yinmiya	ída	NA	sitih	com	jak	taimanu	cache'da	gado	a'ini	sut	NA	wie	wie	ŋmɩŋmɩn	dànì	yani	NA	how	how	NA	qaillun	NA	hono	kuinka	nesoy	conas	mba'éicha piko	NA	jaghaii	NA	kako	hogyan	baka ni	aṅa	NA	NA	hvernig	どうして	hyư̆m	qalayınsha	herhen	nhani	어떻게	vɛ̀ɛ̀	anyána	kadi ponapa	apa saba'na	tyara ankantaigakempara	NA	haawe	vintso̱se'e	shiryeena	mati	quiene	quenicatza	waarom	bwanji	aliyakereya	NA	gi	t́iiga	yuh ka mawx	imanöpanataj	imaynamá	cum	dute	mo	na	cómo	mañɨ	'lacha	paano	n'ata	neneň	nasıl	NA	thể nào	naka	bix	NA	怎麼	NA
45006021	peu	iwunhantama	napike	nzu	upa	ntrớu	kai	gun-nga	ca	NA	suh	quin	co	håfa	cuaxca	gado usdi	ti'itajni	beth	hvad	was	was für	bʋnʋ	ayìı	ingei	ȩná	what	what	NA	NA	jen	koɗum	minkä	ne	cad	mba'épe	wanyu	NA	hihta	čime	micsoda	nama	gini	imatak	NA	hvaða	どんな	hơgĕt	ne	yamar	chaki	무엇입니까	yɛɛ	aátɛ́	ponapa	apa	tyara okantaigakempi	ti	inun	vintso̱	shiina	tarebe	tli	quenicatza	wat	zanji	xoareharenae	NA	klu	t́i	yuh ka mawx	imatataj	NA	ce	gihe	maid	ya	cuál	NA	tachiri	ano	mbi	näme	ne	neme	gì	ban	ba'ax	什麼	甚麼	NA
45007024	soe	ngunhalantama	sapasirake	wan	ime	noau	ise	ana-nga	cába	mach	achīö	qui	NA	håyi	caxca une	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	kia	camek	énê	homo	kuka	kіm	cé	mávapa	wanjungku	NA	hak	tko	kicsoda	sapa	ònye	pitak	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	pasera	inaimi	tyanimpatyo	pɨn	hie	pa̱nts	naanu	tari-e	öquenu	ajqueya	wie	ndani	xalaite	ma'g̃a	katu	i̱	mawx	pillaraj	pitaq	cine	nde	gii	ɓa	quién	aba	chieri	sino	n'ûû	kim	kim	kimmu	ai	ku	máax	誰	誰	i'is
45008031a	peu	iwunhantama	punapike	nzu	koi upa	nṓq	kuga	nguburr-yinmiya	cábati	tas	sitih	què	co	håfa	cache'	gadono	a'ini	beth	NA	was	was	bʋnʋ	dàts'edı	yani	ȩná	what	what	NA	kia	jen	koɗum	mitä	ne	cad	mba'épa	NA	deegweheenjyaa	hiṅqaqwani	što	mit	baka ni	gini	imatak	apakah yang	hvað	なんと	hơgĕt	ne	yuu	chigambeki	무슨	vɛɛ	aátɛ́	ponapa	apamo	tyanimpatyora	ti	inun	vintso̱se'e	shiina	tare-e	tli	tlaque	wat	chiyani	xoare	NA	gi	t́i	ka mawx	imatanataj	ima	ce	iki	maid	ya	qué	NA	churigá	ano	n'ata	NA	ne	neme	gì	lu	ba'ax	什麼	甚麼	ti
45008031b	soe	NA	sapasirake	wan	ime	noau	ise	ana-nga	cábagi	mach	chiāp	qui	kdo	håyi	caxca une	gago	NA	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	qaillun	énê	homo	kuka	kіm	cé	piko máva	wanjungku	juu	hak	tko	kicsoda	sapa	ònye	pitak	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	NA	pasera	inai	tyani	pɨn	hie	pa̱nts	naanu	tari-e	öquenu	NA	wie	ndani	xalaiya	NA	katu	i̱	mawx	pinataj	pitaq	cine	nde	gii	yiida	quién	NA	chiérite	sino	n'ûû	kim	kim	kimmu	ai	kan	máax	誰	誰	i'is
45008033	soe	NA	sapasirake	wan	ime	noau	ise	ana-nga	cági	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	pwy	hvem	wer	wer	ãa	NA	inɛ aa	nóo	who	who	NA	kina	énê	homo	kuka	kіm	cé	NA	NA	juu dee	hak	tko	kicsoda	sapa	ònye	pitak	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	pasera	inai	tyanimpatyora	pɨn	hiekah	pa̱nts	naanu	tari-e	öquenu	ajqueya	wie	ndani	xalaiya	NA	katu	i̱	mawx	piraj	pitaq	cine	nde	gii	yiida	quién	NA	'lacha	sino	n'ûû	kim	kim	kimmu	ai	kan	máax	誰	誰	i'is
45008034	peu	NA	sapasirake	wan	NA	noau	ise	ana-nga	cáteiti	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	kialiqaa-suli	kina	énê	homo	kuka	kіm	cé	mávapa	wanjungku	juu dee	hak	tko	kicsoda	sapa	ònye	pitak	siapakah yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	NA	NA	tyani	pɨn	inun	pa̱n	naanu	tari-e	öquenu	ajqueya	wie	ndani	xalaiya	NA	NA	i̱	mawx	piraj	NA	cine	nde	gii	yiida	quién	NA	NA	sino	n'ûû	kim	kim	kim	ai	kan	máax	誰	誰	i'is
45008035	peu	NA	sapasirake	nzu	NA	ntrớu	ise	ana-nga	cábati	NA	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	NA	NA	wer	wer	ãa	amìı	kijɛ inge	nóo	who	who	sumik	kia	énê	koɗum	mikä	kіm	cé	máva piko	wanyangka	juu dee	hak	tko	kicsoda	sapa	ònye	pitak	siapakah yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	NA	inai	tyanimpatyora	NA	inun	pa̱n	naanu	tari-e	öquenu	ajqueya	wat	ndani	xalaite	NA	giru	i̱	mawx	piraj	NA	cine	nde	gii	ɓa	quién	NA	tachírite	sino	mbi	NA	ne	NA	ai	kan	máax	誰	誰	NA
45009019a	pakon	iwunhangantama	sapunapi	o yô se	nongko'upa	nṓq	ngkai	an-nga nula	cáti uágu	tas yuj	kūyòh	per què	proč	taimanu	cua' uc'a	gadono	a'ini	pa	NA	warum	warum	bʋnʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	how	summan	ciin	jen	koɗum	miksi	neçіn	cad	mba'e piko	wanyurrinku	doonchy'aa	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hvað	なぜ	hyư̆m	nege	yaagaad	nhani	어째서	le yɛɛ	anyíatɛ́	aponapa	apa saba'na	tyara okantakara	ti	wuah inun	vintso̱ts	khulwashiina	tarexab	tlica	quenque	waarom	chifukwa chiyani	aliyakereya	maraname	klu	t́iiga	NA	imanirtaj	imanasqataq	de ce	igiki gituma	manne	ya	por qué	mbaerã	'lacha	bakit	kî	näme üçin	neden	neme uchun	sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
45009020c	keupeue	iwunhangala	kenken	o yô se	NA	nṓq	engkai	an-nga nula	cáme	tas yuj	kūöyòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini	pam	hvorfor	warum	warum	bʋnʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	why	summan	ciin	jen	ko saabii	miksi	neçіn	cad	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hví	なぜ	hyư̆m	nege	yaagaad	nhani	왜	le yɛɛ	anyíatɛ́	aponapa	apa saba'na	antari gara	nej co	wuah inun	tya̱jxts	shiina	tarexats	tlica	para tlen	waarom	undipangiranji	xoana hoka	maraname	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	igiki catumye	manne	tah ya	por qué	mbaerã	chonigá	bakit	kî n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
45009030	NA	NA	napike	se	NA	nṓq	kuga	nguburr-yinmiya	cábati	tas	sitih	què	co	NA	cache'da	gado	a'ini	beth	hvad	was	was	bo	ayìı	inge	nɛ́nná	what	NA	sumik	qaillun	jen	koɗum	mitä	ne	cad	mba'épa	NA	deegweheenjyaa	hiṅqaqwani	što	mit	baka ni	gini	imatak	apakah yang	hvað	なんと	hơgĕt	ne	yuu	chigambeki	무슨	vɛɛ	aátɛ́	NA	NA	tyarika ankantaige	NA	NA	vintso̱se'e	shiina	tare-e	tli	tlaque	wat	chiyani	xoare	marã	gi	t́i	ka mawx	imatanataj	NA	ce	iki	maid	ya	qué	NA	NA	ano	n'ata	näme	ne	NA	làm sao	lu	ba'ax	什麼	甚麼	ti
45009032	pakon	iwunhanga	napi awinan	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	cági uágu	tas yuj	pòyòh	per què	proč	sa' put håfa	cua' uc'a	gadono	a'ini een cɨn	pam	hvorfor	welchem	warum	bʋ̃ʋ n'ʋ so	dànìghǫ	inge	moo ȩná	why	why	qanuq	ciin	jen	ko saabii	miksi	neçіn	cad fáth	mba'ére piko	NA	jaghaii	hinoq’ö	zašto	miért	nama kebuah	n'ìhi gini	imapatak	mengapa	hvers vegna	なぜ	yua hơgĕt	ne ushın	yaagaad	nhani	왜	le kɔlɔ yɛɛ	anyíatɛ́	aponapa	angngapa	tyara okantaka	na'amy	wuah inun	tya̱jx	khulwashiina	tare xū-i ǃaromasa	tli	quenque	waarom	chifukwa chiyani	xoana hoka	NA	klu chinanu	NA	patix	imanir	imanasqamá	de ce	ku ki	manne	tah ya	por qué razón	NA	NA	bakit	kî	näme üçin	neden	neme uchun	tại sao	lan	ba'axten	為什麼	甚麼	ti'ajcuy
45010006	soe	ngunhama	nyen	wan	ime	noau	ise	ana-nga	cába	mach	chiāp	qui	NA	håyi	caxca une	gago	NA	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	kina-kiq	énê	homo	kuka	kіm	cé	máva piko	wanju	juu	hak	tko	ki	sapa	ònye	pitak	NA	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	sapa	inaika	tyanimpatyora	pɨn	hie	pa̱nts	naanu	tari-e	öque	NA	wie	ndani	xalaite	NA	katu	i̱	mawx	piraj	pitaq	cine	nde	gii	yiida	quién	aba	chieri	sino	n'ûû	kim	kim	kim	ai	kuy	máax	誰	誰	i
45010007	soe	ngunhama	nyen	wan	ime	noau	ise	ana-nga	cába	mach	chiāp	qui	NA	håyi	caxca une	gago	NA	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	kina-kiq-llu	énê	homo	kuka	kіm	cé	mávapa	wanju	juu	hak	tko	ki	sapa	ònye	pitak	NA	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	sapa	inaika	tyanirika	pɨn	hie	pa̱nts	naanu	tari-e	öquenu	NA	wie	ndani	xalaite	NA	katu	i̱	mawx	piraj	pitaq	cine	nde	gii	yiida	quién	aba	chieri	sino	n'ûû	kim	kim	kim	ai	kuy	máax	誰	誰	i
45010014a	pakriban	NA	asapunapi	oh yôh se	koi upa	nṓq	kuga	aburr-yinmiya	ída	tas	sitih	com	NA	taimanu	cache'da	gadono	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	NA	qaillun-mi	nan	hono	kuinka	nesoy	conas	mba'éicha piko	wanjarrku	nats'ąą	hin	kako	hogyan	baka ni	aṅa	imasatak	bagaimana	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	kadi ponapa	antekamma	tyaratyo inkantaigakempara	nej	kalaawe	vintso̱ts	baryeena	matin	quiene	quenicatza	hoe	bwanji	aliyakereya	NA	gi rixpoko	jutsa̱p	yuh ka mawx	imanöparaj	imaynatamá	cum	bate	mo	NA	cómo	NA	churigá	paano	n'ata	nädip	nasıl	qandaqmu	làm sao	nan	bix	怎	怎	jujche
45010014b	pakriban	NA	sapunapi	oh yôh se	koi upa	nṓq	kuga	aburr-yinmiya	ída	tas	sitih	com	NA	håfa taimanu	cache'da	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	NA	qaillun-mi-llu	nan	hono	kuinka	nesoy	conas	mba'éicha piko	wanjarrku	NA	hin	kako	hogyan	baka ni	aṅa	imasatak	bagaimana	hvernig	どうして	hyư̆m	qalay	yaaj	finhani	어떻게	vɛ̀ɛ̀	anyána	kadi ponapa	antekamma	tyaratyo inkantaigakempara	nej	kalaawe	vintso̱	baryeena	matin	quiene	quenicatza	hoe	bwanji	aliyakereya	NA	gi rixpoko	jutsa̱p	yuh ka mawx	imanöparaj	imaynataqmá	cum	bate	mo	na	cómo	NA	churigá	paano	n'ata	nädip	nasıl	qandaqmu	làm sao	naka	bix	怎	怎	jujche
45010014c	pakriban	NA	asapunapi	oh yôh se	koi upa	nṓq	kuga	aburr-yinmiya	ída	tas	sitih	com	NA	taimanu	cache'da	gado	a'ini	sut	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	née	how	how	NA	qaillun-llu	nan	hono	kuinka	nesoy	conas	mba'éicha piko	wanjarrku	NA	hin	kako	hogyan	baka ni	aṅa	imasatak	bagaimana	hvernig	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛ̀ɛ̀	anyána	kadi ponapa	antekamma	tyaratyo inkantaigakempara	nej	kalaawe	vintso̱	baryeena	matin	quiene	quenicatza	hoe	bwanji	aliyakereya	NA	gi rixpoko	jutsa̱p	yuh ka mawx	imanöparaj	imaynataq	cum	bate	mo	na	cómo	NA	NA	paano	n'ata	nädip	nasıl	qandaqmu	làm sao	naka	bix	怎	怎	jujche
45010015	pakriban	NA	sapunapi	oh yôh se	koi upa	nṓq	kuga	a-yinmiya	ída	tas	sitih	qui	NA	taimanu	cache'da	gado	a'ini	phwy	hvordan	wie	wie	ŋmɩŋmɩn	dànì	yani	nóo	how	how	NA	qaillun-llu	nan	hono	kuinka	nesoy	conas	mba'éicha piko	NA	nats'ąą	hin	kako	hogyan	baka ni	aṅa	pitak	bagaimana	hver	どうして	hyư̆m	qalay	yaaj	nhani	어떻게	vɛɛ	anyána	kadi ponapa	antekamma	tyaratyo inkantaigakempa	jadu'n	kalaawe	vintso̱	baryeena	mati	quiene	ajqueya	wie	bwanji	aliyakereya	NA	gi rixpoko	jutsa̱p	yuh ka mawx	imanöparaj	imaynatataq	cum	bate	mo	NA	cómo	NA	churigá	paanong	n'ata	nädip	nasıl	qandaq	làm sao	nan	bix	怎	怎	jutznøm
45010016	soe	ngunhalama	sapasirake	wan	ime	aléq	ise	ana-nga	NA	mach	achīö	qui	kdo	håyi	cada	gago	a'ini	pwy	hvem	wer	wer	ãa	amìı	inɛ aa	nóo	who	who	NA	kina	NA	homo	kuka	kіm	cé	máva piko	NA	NA	hak	tko	ki	sapa	ònye	pikunatak	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	aányɛ́	pasera	inaika	NA	pɨn	hie	pa̱nts	NA	tari-e	öquenu	ajqueya	wie	ndani	xala	NA	katu	i̱	mawx	piraj	pitaq	cine	nde	gii	yiida	quién	NA	chieri	sino	n'ûû	kim	kim	kimmu	ai	ku	máax	誰	誰	i'is
45011034a	soe	NA	sapasirake	wan	ime	aléq	ise	ana-nga	cági	mach	achīö	qui	kdo	håyi	caxca une	gagoyeno	a'ataani	pwy	hvem	NA	wer	ãa	amìı	inɛ aa	nóo	who	who	kiñaliqaa	kia	énê	homo	kuka	kіm	cé	máva piko	NA	juu dee	hak	tko	ki	sapa	ònye	NA	siapa	hver	だれ	hlơi	kim	hen	nonani	누가	nɛ̀ɛ́	aátɛ́	sapa	inai	tyanimpatyora	NA	hie	pa̱nts	naanu	tari-e	öquenu	ajqueya	wie	ndani	xala	NA	NA	i̱	pui mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	NA	NA	sino	n'ûû	kim	kim	kimmu	ai	ku	máax	誰	誰	i'is
45011034b	soe	NA	sapasirake	wan	ime	aléq	ise	ana-nga	cági	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	pwy	hvem	NA	wer	ãa	amìı	inɛ aa	nóo	who	who	kialiqaa	kina	énê	homo	kuka	kіm	cé	máva piko	NA	juu	hak	tko	ki	sapa	ònye	NA	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́	NA	sapa	inai	tyanimpatyo	pɨnjäy	hie	pa̱nts	NA	tari-e	öquenu	ajqueya	wie	ndani	xalaiya	NA	NA	i̱	pui mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	NA	chieri	sino	n'ûû	kim	kim	kimmu	ai	ku	máax	誰	誰	NA
45011035	soe	NA	sapasirake	wan	ime	aléq	ise	ana-nga	cági	mach	achīö	qui	kdo	håyi	caxca une	gago	a'ataani	pwy	hvem	wer	wer	ãa	NA	inɛ aa	nóo	who	who	kiñaliqaa	kia-llu	énê	homo	kuka	kіm	cé	mávapa	wanjungku	juu dee	hak	tko	ki	sapa	ònye	NA	siapakah yang	hver	だれ	hlơi	kim	hen	nani	누굽니까	nɛ̀ɛ̀	NA	sapa	inai	tyanimpatyora	pɨnjäy	hie	pa̱nts	naanu	tari-e	öquenu	NA	wie	ndani	xala	NA	katu	i̱	pui mawx	piraj	pitaq	cine	nde	gii	ɓa	quién	NA	chieri	sino	n'ûû	kim	NA	kimmu	ai	ku	máax	誰	誰	NA
45014010a	keupeue	iwunhangama	punapi awinannya	NA	nongko'upa	nṓq	ngkai	an-nga nula	ca uágu	NA	kūöyòh	per què	proč	håfa na	cua' uc'a	godono	a'ini een cɨn	pam	hvor	warum	was	bʋnʋ ƴãw	dànìghǫ	inge dɛi	moo ȩn	why	why	NA	ciin-mi	NA	ko waɗi	kuinka	neçіn	cad	mba'ére piko	wanyurrinku	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	NA	hví	なぜ	hyư̆m	nege	yuund	nhani	어째서	le yɛɛ	anyíatɛ́	ponapa	apa saba'na	antari gara	na'amy	inun	tya̱jxts	khulwashiina	tarexats	tli	para tlen	hoe	uweruziranji	xoana hoka	maraname	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqamá	de ce-l	igiki gituma	manne	ɓa	por qué	NA	chonigá	bakit	mbi n'ûntû	näme üçin	neden	neme uchun	tại sao	lu tax	ba'axten	為什麼	為甚麼	ti'ajcuy
